Expression	Value	Location	Type	
[525]	'›' (0x9B)	0x100245E5	char	
[526]	'w' (0x77)	0x100245E6	char	
[527]	'l' (0x6C)	0x100245E7	char	
[528]	'ä' (0xE4)	0x100245E8	char	
[529]	'8' (0x38)	0x100245E9	char	
[530]	'G' (0x47)	0x100245EA	char	
[531]	'ü' (0xFC)	0x100245EB	char	
[532]	'”' (0x94)	0x100245EC	char	
[533]	'' (0x8F)	0x100245ED	char	
[534]	'G' (0x47)	0x100245EE	char	
[535]	'.' (0x04)	0x100245EF	char	
[536]	'6' (0x36)	0x100245F0	char	
[537]	'6' (0x36)	0x100245F1	char	
[538]	'S' (0x53)	0x100245F2	char	
[539]	'õ' (0xF5)	0x100245F3	char	
[540]	'á' (0xE1)	0x100245F4	char	
[541]	'Ÿ' (0x9F)	0x100245F5	char	
[542]	'+' (0x2B)	0x100245F6	char	
[543]	'¬' (0xAC)	0x100245F7	char	
[544]	'ó' (0xF3)	0x100245F8	char	
[545]	'Ô' (0xD4)	0x100245F9	char	
[546]	',' (0x2C)	0x100245FA	char	
[547]	'¤' (0xA4)	0x100245FB	char	
[548]	'2' (0x32)	0x100245FC	char	
[549]	's' (0x73)	0x100245FD	char	
[550]	'Ÿ' (0x9F)	0x100245FE	char	
[551]	'á' (0xE1)	0x100245FF	char	
[552]	'$' (0x24)	0x10024600	char	
[553]	'.' (0x1F)	0x10024601	char	
[554]	'°' (0xB0)	0x10024602	char	
[555]	'‘' (0x91)	0x10024603	char	
[556]	'w' (0x77)	0x10024604	char	
[557]	'8' (0x38)	0x10024605	char	
[558]	'.' (0x1E)	0x10024606	char	
[559]	'¸' (0xB8)	0x10024607	char	
[560]	'C' (0x43)	0x10024608	char	
[561]	'»' (0xBB)	0x10024609	char	
[562]	',' (0x2C)	0x1002460A	char	
[563]	'‡' (0x87)	0x1002460B	char	
[564]	'ž' (0x9E)	0x1002460C	char	
[565]	'ž' (0x9E)	0x1002460D	char	
[566]	'7' (0x37)	0x1002460E	char	
[567]	'†' (0x86)	0x1002460F	char	
[568]	'X' (0x58)	0x10024610	char	
[569]	'\v' (0x0B)	0x10024611	char	
[570]	'ñ' (0xF1)	0x10024612	char	
[571]	'.' (0x14)	0x10024613	char	
[572]	'/' (0x2F)	0x10024614	char	
[573]	'\v' (0x0B)	0x10024615	char	
[574]	'1' (0x31)	0x10024616	char	
[575]	'Ì' (0xCC)	0x10024617	char	
[576]	'.' (0x06)	0x10024618	char	
[577]	'¾' (0xBE)	0x10024619	char	
[578]	'¡' (0xA1)	0x1002461A	char	
[579]	'Q' (0x51)	0x1002461B	char	
[580]	'.' (0x06)	0x1002461C	char	
[581]	'.' (0x02)	0x1002461D	char	
[582]	'À' (0xC0)	0x1002461E	char	
